#FILE:                       ,sws-10k.dsv          
#FORMAT:                     ,NETZSCH5             
#IDENTITY:                   ,1                    
#DECIMAL:                    ,POINT                
#SEPARATOR:                  ,COMMA                
#MTYPE:                      ,DTA                  
#MSUBTYPE:                   ,                     
#INSTRUMENT:                 ,NETZSCH STA 409 PC/PG
#PROJECT:                    ,                     
#DATE/TIME:                  ,2002-1-2 15:27:37    
#CORR. FILE:                 ,10k.bsv              
#LABORATORY:                 ,                     
#OPERATOR:                   ,1                    
#REMARK:                     ,                     
#SAMPLE:                     ,1                    
#SAMPLE MASS /mg:            ,29.908               
#MATERIAL:                   ,                     
#REFERENCE:                  ,yes                  
#REFERENCE MASS /mg:         ,0.000                
#TYPE OF CRUCIBLE:           ,DTA/TG crucible Al2O3
#SAMPLE CRUCIBLE MASS /mg:   ,0.000                
#REFERENCE CRUCIBLE MASS /mg:,0.000                
#GAS 1:                      ,                     
#FLOW RATE 1:                ,                     
#GAS 2:                      ,air                  
#FLOW RATE 2 /(ml/min):      ,50                   
#CORR. CODE:                 ,820                  
#EXO:                        ,+1                   
#RANGE:                      ,30/10.0(K/min)/1000  
#SEGMENT:                    ,S1/1                 

##Temp./°„C,Time/min,DTA/(uV/mg),Mass/%,DTG/(%/min),Sensit./(¶ÃV/mW)
285.11400,   25.04082,-4.0874e-003, 99.06514,-2.7839e-002,1.00000
287.61400,   25.29173, 1.2608e-003, 99.05789,-2.9931e-002,1.00000
290.11400,   25.54319, 6.6240e-003, 99.05010,-3.2064e-002,1.00000
292.61400,   25.79512, 1.1975e-002, 99.04174,-3.4385e-002,1.00000
295.11400,   26.04606, 1.7250e-002, 99.03279,-3.6964e-002,1.00000
297.61400,   26.29862, 2.2486e-002, 99.02311,-3.9737e-002,1.00000
300.11400,   26.54998, 2.7626e-002, 99.01278,-4.2423e-002,1.00000
302.61400,   26.80221, 3.2746e-002, 99.00177,-4.4795e-002,1.00000
305.11400,   27.05428, 3.7874e-002, 98.99021,-4.6814e-002,1.00000
307.61400,   27.30671, 4.3069e-002, 98.97816,-4.8743e-002,1.00000
310.11400,   27.55895, 4.8358e-002, 98.96559,-5.0993e-002,1.00000
312.61400,   27.81177, 5.3770e-002, 98.95235,-5.3907e-002,1.00000
315.11400,   28.06392, 5.9275e-002, 98.93831,-5.7591e-002,1.00000
317.61400,   28.31681, 6.4885e-002, 98.92321,-6.1997e-002,1.00000
320.11400,   28.56938, 7.0550e-002, 98.90694,-6.6951e-002,1.00000
322.61400,   28.82279, 7.6263e-002, 98.88930,-7.2320e-002,1.00000
325.11400,   29.07586, 8.1951e-002, 98.87029,-7.7981e-002,1.00000
327.61400,   29.32913, 8.7556e-002, 98.84979,-8.3948e-002,1.00000
330.11400,   29.58247, 9.2980e-002, 98.82773,-9.0356e-002,1.00000
332.61400,   29.83576, 9.8101e-002, 98.80397,-9.7421e-002,1.00000
335.11400,   30.08953,     0.10280, 98.77826,    -0.10533,1.00000
337.61400,   30.34339,     0.10695, 98.75043,    -0.11411,1.00000
340.11400,   30.59755,     0.11046, 98.72024,    -0.12361,1.00000
342.61400,   30.85133,     0.11328, 98.68760,    -0.13368,1.00000
345.11400,   31.10531,     0.11544, 98.65231,    -0.14436,1.00000
347.61400,   31.36012,     0.11699, 98.61408,    -0.15598,1.00000
350.11400,   31.61465,     0.11803, 98.57277,    -0.16904,1.00000
352.61400,   31.86948,     0.11862, 98.52781,    -0.18429,1.00000
355.11400,   32.12418,     0.11883, 98.47865,    -0.20244,1.00000
357.61400,   32.37858,     0.11867, 98.42449,    -0.22408,1.00000
360.11400,   32.63321,     0.11812, 98.36429,    -0.24959,1.00000
362.61400,   32.88798,     0.11715, 98.29707,    -0.27886,1.00000
365.11400,   33.14307,     0.11571, 98.22186,    -0.31136,1.00000
367.61400,   33.39771,     0.11376, 98.13819,    -0.34620,1.00000
370.11400,   33.65252,     0.11128, 98.04536,    -0.38278,1.00000
372.61400,   33.90715,     0.10823, 97.94310,    -0.42068,1.00000
375.11400,   34.16148,     0.10462, 97.83117,    -0.45970,1.00000
377.61400,   34.41670,     0.10043, 97.70876,    -0.49973,1.00000
380.11400,   34.67154, 9.5718e-002, 97.57628,    -0.53997,1.00000
382.61400,   34.92631, 9.0564e-002, 97.43363,    -0.57954,1.00000
385.11400,   35.18111, 8.5101e-002, 97.28109,    -0.61730,1.00000
387.61400,   35.43721, 7.9525e-002, 97.11845,    -0.65197,1.00000
390.11400,   35.69358, 7.4182e-002, 96.94735,    -0.68156,1.00000
392.61400,   35.95001, 6.9493e-002, 96.76948,    -0.70400,1.00000
395.11400,   36.20635, 6.5912e-002, 96.58705,    -0.71739,1.00000
397.61400,   36.46345, 6.3846e-002, 96.40193,    -0.72046,1.00000
400.11400,   36.71920, 6.3596e-002, 96.21835,    -0.71300,1.00000
402.61400,   36.97482, 6.5256e-002, 96.03805,    -0.69593,1.00000
405.11400,   37.22942, 6.8741e-002, 95.86384,    -0.67116,1.00000
407.61400,   37.48500, 7.3872e-002, 95.69607,    -0.64085,1.00000
410.11400,   37.73994, 8.0348e-002, 95.53688,    -0.60761,1.00000
412.61400,   37.99526, 8.7925e-002, 95.38612,    -0.57331,1.00000
415.11400,   38.25091, 9.6396e-002, 95.24393,    -0.53917,1.00000
417.61400,   38.50574,     0.10559, 95.11083,    -0.50547,1.00000
420.11400,   38.76109,     0.11549, 94.98609,    -0.47130,1.00000
422.61400,   39.01632,     0.12606, 94.87029,    -0.43569,1.00000
425.11400,   39.27082,     0.13727, 94.76414,    -0.39812,1.00000
427.61400,   39.52548,     0.14909, 94.66773,    -0.35884,1.00000
430.11400,   39.78033,     0.16140, 94.58134,    -0.31922,1.00000
432.61400,   40.03459,     0.17393, 94.50506,    -0.28131,1.00000
435.11400,   40.28923,     0.18647, 94.43794,    -0.24676,1.00000
437.61400,   40.54344,     0.19870, 94.37914,    -0.21687,1.00000
440.11400,   40.79792,     0.21041, 94.32724,    -0.19200,1.00000
442.61400,   41.05243,     0.22143, 94.28105,    -0.17198,1.00000
445.11400,   41.30662,     0.23162, 94.23943,    -0.15628,1.00000
447.61400,   41.55994,     0.24090, 94.20146,    -0.14421,1.00000
450.11400,   41.81293,     0.24925, 94.16619,    -0.13511,1.00000
452.61400,   42.06677,     0.25670, 94.13280,    -0.12848,1.00000
455.11400,   42.32039,     0.26324, 94.10084,    -0.12394,1.00000
457.61400,   42.57398,     0.26895, 94.06981,    -0.12105,1.00000
460.11400,   42.82795,     0.27395, 94.03931,    -0.11937,1.00000
462.61400,   43.08256,     0.27836, 94.00905,    -0.11847,1.00000
465.11400,   43.33596,     0.28225, 93.97909,    -0.11812,1.00000
467.61400,   43.58951,     0.28573, 93.94913,    -0.11830,1.00000
470.11400,   43.84282,     0.28885, 93.91908,    -0.11910,1.00000
472.61400,   44.09610,     0.29167, 93.88874,    -0.12058,1.00000
475.11400,   44.34911,     0.29421, 93.85799,    -0.12259,1.00000
477.61400,   44.60265,     0.29657, 93.82663,    -0.12483,1.00000
480.11400,   44.85640,     0.29881, 93.79468,    -0.12692,1.00000
482.61400,   45.10957,     0.30100, 93.76232,    -0.12866,1.00000
485.11400,   45.36268,     0.30321, 93.72956,    -0.13014,1.00000
487.61400,   45.61616,     0.30547, 93.69638,    -0.13174,1.00000
490.11400,   45.86878,     0.30775, 93.66284,    -0.13392,1.00000
492.61400,   46.12217,     0.31006, 93.62854,    -0.13703,1.00000
495.11400,   46.37512,     0.31235, 93.59340,    -0.14099,1.00000
497.61400,   46.62762,     0.31459, 93.55725,    -0.14537,1.00000
500.11400,   46.88087,     0.31679, 93.51988,    -0.14970,1.00000
502.61400,   47.13373,     0.31894, 93.48151,    -0.15372,1.00000
505.11400,   47.38653,     0.32103, 93.44216,    -0.15765,1.00000
507.61400,   47.63919,     0.32307, 93.40179,    -0.16207,1.00000
510.11400,   47.89139,     0.32503, 93.36026,    -0.16751,1.00000
512.61400,   48.14392,     0.32689, 93.31714,    -0.17423,1.00000
515.11400,   48.39671,     0.32862, 93.27214,    -0.18201,1.00000
517.61400,   48.64989,     0.33022, 93.22501,    -0.19036,1.00000
520.11400,   48.90284,     0.33168, 93.17578,    -0.19882,1.00000
522.61400,   49.15648,     0.33304, 93.12429,    -0.20721,1.00000
525.11400,   49.40937,     0.33430, 93.07083,    -0.21552,1.00000
527.61400,   49.66164,     0.33549, 93.01541,    -0.22390,1.00000
530.11400,   49.91451,     0.33658, 92.95771,    -0.23259,1.00000
532.61400,   50.16729,     0.33755, 92.89777,    -0.24171,1.00000
535.11400,   50.41960,     0.33840, 92.83558,    -0.25140,1.00000
537.61400,   50.67281,     0.33912, 92.77062,    -0.26183,1.00000
540.11400,   50.92502,     0.33971, 92.70320,    -0.27302,1.00000
542.61400,   51.17794,     0.34020, 92.63264,    -0.28510,1.00000
545.11400,   51.43036,     0.34058, 92.55908,    -0.29789,1.00000
547.61400,   51.68261,     0.34086, 92.48227,    -0.31112,1.00000
550.11400,   51.93487,     0.34102, 92.40212,    -0.32435,1.00000
552.61400,   52.18694,     0.34104, 92.31872,    -0.33718,1.00000
555.11400,   52.43915,     0.34092, 92.23213,    -0.34938,1.00000
557.61400,   52.69170,     0.34064, 92.14242,    -0.36085,1.00000
560.11400,   52.94422,     0.34022, 92.04993,    -0.37153,1.00000
562.61400,   53.19586,     0.33963, 91.95518,    -0.38133,1.00000
565.11400,   53.44836,     0.33886, 91.85774,    -0.39034,1.00000
567.61400,   53.70022,     0.33787, 91.75836,    -0.39873,1.00000
570.11400,   53.95204,     0.33663, 91.65692,    -0.40695,1.00000
572.61400,   54.20431,     0.33508, 91.55319,    -0.41559,1.00000
575.11400,   54.45697,     0.33320, 91.44700,    -0.42517,1.00000
577.61400,   54.70919,     0.33094, 91.33843,    -0.43604,1.00000
580.11400,   54.96099,     0.32827, 91.22712,    -0.44848,1.00000
582.61400,   55.21321,     0.32511, 91.11224,    -0.46291,1.00000
585.11400,   55.46630,     0.32142, 90.99300,    -0.47991,1.00000
587.61400,   55.71765,     0.31715, 90.86994,    -0.50004,1.00000
590.11400,   55.97032,     0.31220, 90.74065,    -0.52424,1.00000
592.61400,   56.22264,     0.30655, 90.60490,    -0.55278,1.00000
595.11400,   56.47493,     0.30014, 90.46140,    -0.58562,1.00000
597.61400,   56.72685,     0.29298, 90.30935,    -0.62216,1.00000
600.11400,   56.97891,     0.28505, 90.14762,    -0.66174,1.00000
602.61400,   57.23091,     0.27639, 89.97564,    -0.70358,1.00000
605.11400,   57.48375,     0.26703, 89.79227,    -0.74715,1.00000
607.61400,   57.73587,     0.25713, 89.59832,    -0.79145,1.00000
610.11400,   57.98789,     0.24674, 89.39327,    -0.83566,1.00000
612.61400,   58.24024,     0.23595, 89.17692,    -0.87871,1.00000
615.11400,   58.49239,     0.22491, 88.95015,    -0.91933,1.00000
